Date,time,Flight_index,ATRsum
2018-07-01,0,56,6.645915099849214e-23
2018-07-01,0,57,4.917431087515752e-23
2018-07-01,0,58,6.321473184519894e-24
2018-07-01,0,59,1.1538329813907316e-23
2018-07-01,0,60,4.657063983898521e-23
2018-07-01,0,61,2.808073880787811e-23
2018-07-01,0,62,5.060088249837194e-23
2018-07-01,0,63,3.9054960074581237e-25
2018-07-01,0,64,3.885249146163688e-25
2018-07-01,0,65,7.37348097995446e-24
2018-07-01,0,66,5.04661022840753e-23
2018-07-01,0,67,2.955197493427868e-23
2018-07-01,0,68,5.347938013720408e-23
2018-07-01,0,69,5.139917652949492e-25
2018-07-01,0,70,5.295015824144947e-25
2018-07-01,0,71,7.133728516457236e-25
2018-07-01,0,72,9.980969505673802e-23
2018-07-01,0,73,5.611943584455287e-25
2018-07-01,0,74,6.667081455118018e-23
2018-07-01,0,75,5.125866491040389e-23
2018-07-01,0,76,6.643503196870957e-25
2018-07-01,0,77,1.2495209179968873e-23
2018-07-01,0,78,2.719516763551117e-25
2018-07-01,0,79,5.163386344505653e-23
2018-07-01,0,80,3.3871453162070814e-23
2018-07-01,0,81,1.3221133533339273e-23
2018-07-01,0,82,3.5104173635802864e-25
2018-07-01,0,83,7.496210008890894e-25
2018-07-01,0,84,8.950529167401112e-23
2018-07-01,0,85,8.702087201937973e-24
2018-07-01,0,86,6.225888102077924e-23
2018-07-01,0,87,3.63055866660401e-23
2018-07-01,0,88,5.313707358772757e-25
2018-07-01,0,89,3.9198068944084495e-25
2018-07-01,0,90,1.710036203672619e-23
2018-07-01,0,91,3.5619597133768774e-23
2018-07-01,0,92,6.356460972383296e-23
2018-07-01,0,93,4.2731904063499e-25
2018-07-01,0,94,6.763726387694564e-23
2018-07-01,0,95,3.380196753026744e-23
2018-07-01,0,96,4.783238756899169e-23
2018-07-01,0,97,1.9997093022912677e-23
2018-07-01,0,98,1.0995092635542933e-23
2018-07-01,0,99,1.6803353111726018e-23
2018-07-02,0,0,3.2246884660899835e-24
2018-07-02,0,1,4.527123073686178e-23
2018-07-02,0,2,6.367462560076149e-23
2018-07-02,0,3,2.495523869705834e-25
2018-07-02,0,4,1.6957526863983005e-23
2018-07-02,0,5,1.5237444949213545e-23
2018-07-02,0,6,4.951061104015833e-23
2018-07-02,0,7,4.359415108800763e-23
2018-07-02,0,8,2.1598551646162464e-23
2018-07-02,0,9,2.306351934311952e-23
2018-07-02,0,10,9.950757295313956e-23
2018-07-02,0,11,5.498337243116347e-23
2018-07-02,0,12,3.667298213644929e-23
2018-07-02,0,13,4.292858602229063e-23
